Account ID,Account Name,Instance ID,Instance Type,OS,Region,Running Hours,RI Hours,OD Hours, CPU Utilization ,Memory Utilization,Disk Utilization,Recommended Action,Recommended Instance Type 1, Recommended Instance Type 1 Estimated Savings , Recommended Instance Type 1 Projected CPU ,Recommended Instance Type 1 Projected Memory,Recommended Instance Type 1 Projected Disk,Recommended Instance Type 2, Recommended Instance Type 2 Estimated Savings , Recommended Instance Type 2 Projected CPU ,Recommended Instance Type 2 Projected Memory,Recommended Instance Type 2 Projected Disk,Recommended Instance Type 3, Recommended Instance Type 3 Estimated Savings , Recommended Instance Type 3 Projected CPU ,Recommended Instance Type 3 Projected Memory,Recommended Instance Type 3 Projected Disk
836000000000,WA Cost Labs,i-013177,r5.4xlarge,Linux/UNIX,US East (Ohio),329,329,0, 39.00 ,,,Modify,r5.2xlarge, $-   , 78.00 ,,,,,,,,,,,,
836000000000,WA Cost Labs,i-013226,r4.4xlarge,Linux/UNIX,EU (Ireland),0.529444,0,0.529444, 6.97 ,,,Modify,r4.2xlarge, $0.68 , 13.94 ,,,r4.xlarge, $1.02 , 27.88 ,,,r4.large, $1.19 , 55.75 ,,
836000000000,WA Cost Labs,i-013233,r5.xlarge,Linux/UNIX,EU (Frankfurt),330,330,0, 25.00 ,,,Modify,r5.large, $-   , 50.00 ,,,,,,,,,,,,
836000000000,WA Cost Labs,i-013281,t3.medium,Linux/UNIX,EU (Frankfurt),330,0,330, 23.00 ,,,Modify,t3.small, $17.21 , 23.00 ,,,t3.micro, $25.81 , 23.00 ,,,t3.nano, $30.11 , 23.00 ,,
836000000000,WA Cost Labs,i-013334,c4.4xlarge,Linux/UNIX,EU (Ireland),0.075278,0,0.075278, 1.99 ,,,Modify,c4.2xlarge, $0.07 , 3.98 ,,,c4.xlarge, $0.11 , 7.96 ,,,c4.large, $0.13 , 15.92 ,,
836000000000,WA Cost Labs,i-013370,t3.medium,Linux/UNIX,US East (N. Virginia),330,247.6578473,82.34215275, 7.00 ,,,Modify,t3.small, $3.72 , 7.00 ,,,t3.nano, $6.51 , 7.00 ,,,t3.micro, $5.58 , 7.00 ,,
836000000000,WA Cost Labs,i-01342,t3.small,Linux/UNIX,EU (Frankfurt),329,0,329, 7.00 ,,,Modify,t3.micro, $8.58 , 7.00 ,,,t3.nano, $12.87 , 7.00 ,,,,,,,
836000000000,WA Cost Labs,i-013428,t3.medium,Linux/UNIX,US East (N. Virginia),329,329,0, 20.00 ,,,Modify,t3.small, $-   , 20.00 ,,,t3.nano, $-   , 20.00 ,,,t3.micro, $-   , 20.00 ,,
836000000000,WA Cost Labs,i-013491,t2.xlarge,Windows (Amazon VPC),US East (N. Virginia),197,0,197, 38.54 ,,,Modify,t2.large, $45.28 , 77.08 ,,,t2.medium, $69.42 , 77.08 ,,,,,,,
836000000000,WA Cost Labs,i-013526,c4.4xlarge,Linux/UNIX,EU (Ireland),0.084167,0,0.084167, 10.68 ,,,Modify,c4.2xlarge, $0.08 , 21.35 ,,,c4.xlarge, $0.12 , 42.71 ,,,,,,,
836000000000,WA Cost Labs,i-013530,c4.4xlarge,Linux/UNIX,EU (Ireland),0.641389,0,0.641389, 7.09 ,,,Modify,c4.2xlarge, $0.63 , 14.19 ,,,c4.xlarge, $0.95 , 28.38 ,,,c4.large, $1.10 , 56.75 ,,
836000000000,WA Cost Labs,i-013581,c4.xlarge,Linux/UNIX,US East (N. Virginia),0.506667,0,0.506667, 19.96 ,,,Modify,c4.large, $0.11 , 39.92 ,,,,,,,,,,,,
